customer_id,month,mrr
A-00bed1,2023-11,1159.0
A-00bed1,2023-12,1159.0
A-00bed1,2024-01,1159.0
A-00bed1,2024-02,1159.0
A-00bed1,2024-03,1159.0
A-00bed1,2024-04,2531.0
A-00bed1,2024-05,17854.0
A-00bed1,2024-06,17854.0
A-00bed1,2024-07,24798.0
A-00bed1,2024-08,27934.0
A-00bed1,2024-09,33506.0
A-00bed1,2024-10,33506.0
A-00bed1,2024-11,33506.0
A-00bed1,2024-12,33506.0
A-00cac8,2023-09,392.0
A-00cac8,2023-10,392.0
A-00cac8,2023-11,392.0
A-00cac8,2023-12,753.0
A-00cac8,2024-01,753.0
A-00cac8,2024-02,753.0
A-00cac8,2024-03,905.0
A-00cac8,2024-04,905.0
A-00cac8,2024-05,905.0
A-00cac8,2024-06,905.0
A-00cac8,2024-07,905.0
A-00cac8,2024-08,8818.0
A-00cac8,2024-09,9210.0
A-00cac8,2024-10,13190.0
A-00cac8,2024-11,13190.0
A-00cac8,2024-12,14121.0
A-0158bb,2024-05,0.0
A-0158bb,2024-06,836.0
A-0158bb,2024-07,836.0
A-0158bb,2024-08,836.0
A-0158bb,2024-09,836.0
A-0158bb,2024-10,836.0
A-0158bb,2024-11,836.0
A-0158bb,2024-12,4070.0
A-016043,2024-08,114.0
A-016043,2024-09,4341.0
A-016043,2024-10,8450.0
A-016043,2024-11,13435.0
A-016043,2024-12,16516.0
A-019782,2023-06,833.0
A-019782,2023-07,833.0
A-019782,2023-08,7339.0
A-019782,2023-09,7339.0
A-019782,2023-10,7548.0
A-019782,2023-11,7548.0
A-019782,2023-12,4364.0
A-019782,2024-01,4364.0
A-019782,2024-02,4364.0
A-019782,2024-03,4364.0
A-019782,2024-04,4364.0
A-019782,2024-05,4903.0
A-019782,2024-06,5169.0
A-019782,2024-07,5169.0
A-019782,2024-08,5169.0
A-019782,2024-09,5169.0
A-019782,2024-10,5169.0
A-019782,2024-11,5169.0
A-019782,2024-12,5169.0
A-029f69,2024-05,6050.0
A-029f69,2024-06,6050.0
A-029f69,2024-07,6050.0
A-029f69,2024-08,7676.0
A-029f69,2024-09,11240.0
A-029f69,2024-10,10955.0
A-029f69,2024-11,11846.0
A-029f69,2024-12,13324.0
A-02cd81,2024-03,1672.0
A-02cd81,2024-04,1672.0
A-02cd81,2024-05,14740.0
A-02cd81,2024-06,25652.0
A-02cd81,2024-07,27808.0
A-02cd81,2024-08,30800.0
A-02cd81,2024-09,28644.0
A-02cd81,2024-10,28644.0
A-02cd81,2024-11,28644.0
A-02cd81,2024-12,30800.0
A-02fac6,2023-10,1078.0
A-02fac6,2023-11,5456.0
A-02fac6,2023-12,5456.0
A-02fac6,2024-01,6534.0
A-02fac6,2024-02,6534.0
A-02fac6,2024-03,6534.0
A-02fac6,2024-04,6534.0
A-02fac6,2024-05,15080.0
A-02fac6,2024-06,15080.0
A-02fac6,2024-07,15080.0
A-02fac6,2024-08,15080.0
A-02fac6,2024-09,20954.0
A-02fac6,2024-10,26410.0
A-02fac6,2024-11,26410.0
A-02fac6,2024-12,26410.0
A-034368,2023-12,0.0
A-034368,2024-01,0.0
A-034368,2024-02,0.0
A-034368,2024-03,0.0
A-034368,2024-04,0.0
A-034368,2024-05,0.0
A-034368,2024-06,494.0
A-034368,2024-07,494.0
A-034368,2024-08,494.0
A-034368,2024-09,494.0
A-034368,2024-10,6066.0
A-034368,2024-11,6617.0
A-034368,2024-12,11194.0
A-0354fe,2024-11,8704.0
A-0354fe,2024-12,14824.0
A-038089,2024-06,245.0
A-038089,2024-07,2009.0
A-038089,2024-08,2009.0
A-038089,2024-09,2009.0
A-038089,2024-10,2009.0
A-038089,2024-11,2009.0
A-038089,2024-12,2104.0
A-039727,2024-11,13350.0
